report_date,sku,total_quantity
04/04/2022,AN205-YELLOW-S,2
04/04/2022,AN209-BIEGE-XL,1
04/04/2022,BL003-50BLACK-B,1
04/04/2022,BL006-54BLACK,0
04/04/2022,BL009-61BLACK,3
04/04/2022,BL015-63PINK,1
04/04/2022,BL023-74PINK-B,1
04/04/2022,BL035-161GOLD,4
04/04/2022,BL050-83RED-A,1
04/04/2022,BL057-65BLACK-A,3
04/04/2022,BL099-L,1
04/04/2022,BL102-L,1
04/04/2022,BL103-XS,2
04/04/2022,BL104-XS,1
04/04/2022,BL104-XXL,1
04/04/2022,BL109-XXL,0
04/04/2022,BL110-L,1
04/04/2022,BL110-M,1
04/04/2022,BL111-L,2
04/04/2022,BL111-M,1
04/04/2022,BL113-L,1
04/04/2022,BL113-S,2
04/04/2022,BL113-XS,2
04/04/2022,BTM029-NP-L,1
04/04/2022,BTM029-NP-S,1
04/04/2022,BTM030-NP-XS,1
04/04/2022,BTM032-NP-XS,1
04/04/2022,BTM036-PP-S,1
04/04/2022,BTM037-PP-XL,1
04/04/2022,BTM040-PP-XS,0
04/04/2022,BTM047-PP-L,1
04/04/2022,J0002-SKD-L,1
04/04/2022,J0002-SKD-M,1
04/04/2022,J0002-SKD-S,2
04/04/2022,J0002-SKD-XL,2
04/04/2022,J0002-SKD-XXXL,5
04/04/2022,J0003-SET-L,11
04/04/2022,J0003-SET-M,15
04/04/2022,J0003-SET-S,6
04/04/2022,J0003-SET-XL,9
04/04/2022,J0003-SET-XS,7
04/04/2022,J0003-SET-XXL,7
04/04/2022,J0003-SET-XXXL,10
04/04/2022,J0004-SKD-M,1
04/04/2022,J0004-SKD-XXL,1
04/04/2022,J0005-DR-L,1
04/04/2022,J0005-DR-S,3
04/04/2022,J0005-DR-XL,4
04/04/2022,J0005-DR-XS,2
04/04/2022,J0006-SET-L,4
04/04/2022,J0006-SET-M,2
04/04/2022,J0006-SET-S,1
04/04/2022,J0006-SET-XL,3
04/04/2022,J0006-SET-XXL,1
04/04/2022,J0007-SKD-M,1
04/04/2022,J0007-SKD-S,1
04/04/2022,J0007-SKD-XXL,1
04/04/2022,J0008-SKD-L,6
04/04/2022,J0008-SKD-M,2
04/04/2022,J0008-SKD-S,15
04/04/2022,J0008-SKD-XL,3
04/04/2022,J0008-SKD-XS,3
04/04/2022,J0008-SKD-XXL,2
04/04/2022,J0008-SKD-XXXL,1
04/04/2022,J0009-SKD-L,1
04/04/2022,J0009-SKD-M,4
04/04/2022,J0009-SKD-XL,1
04/04/2022,J0009-SKD-XS,1
04/04/2022,J0011-LCD-M,2
04/04/2022,J0012-SKD-L,1
04/04/2022,J0012-SKD-M,2
04/04/2022,J0012-SKD-S,3
04/04/2022,J0012-SKD-XL,2
04/04/2022,J0012-SKD-XXL,2
04/04/2022,J0012-SKD-XXXL,3
04/04/2022,J0013-SKD-L,1
04/04/2022,J0013-SKD-M,1
04/04/2022,J0013-SKD-XS,2
04/04/2022,J0013-SKD-XXXL,2
04/04/2022,J0014-LCD-M,1
04/04/2022,J0014-LCD-S,0
04/04/2022,J0014-LCD-XS,1
04/04/2022,J0023-TP-S,2
04/04/2022,J0023-TP-XL,1
04/04/2022,J0023-TP-XS,2
04/04/2022,J0025-DR-S,1
04/04/2022,J0025-DR-XL,1
04/04/2022,J0028-KR-S,1
04/04/2022,J0029-KR-XS,1
04/04/2022,J0033-KR-XL,1
04/04/2022,J0033-KR-XXL,1
04/04/2022,J0034-SET-XL,1
04/04/2022,J0034-SET-XS,1
04/04/2022,J0038-DR-XXXL,1
04/04/2022,J0041-SET-XL,1
04/04/2022,J0041-SET-XS,1
04/04/2022,J0041-SET-XXXL,1
04/04/2022,J0042-DR-L,1
04/04/2022,J0044-TP-S,2
04/04/2022,J0044-TP-XS,1
04/04/2022,J0047-TP-XL,1
04/04/2022,J0048-TP-S,1
04/04/2022,J0048-TP-XL,1
04/04/2022,J0055-SET-XS,1
04/04/2022,J0062-DR-XXL,2
04/04/2022,J0073-KR-XL,1
04/04/2022,J0075-KR-M,1
04/04/2022,J0077-SKD-M,1
04/04/2022,J0077-SKD-S,1
04/04/2022,J0077-SKD-XS,1
04/04/2022,J0077-SKD-XXXL,1
04/04/2022,J0078-SET-S,2
04/04/2022,J0080-TP-S,1
04/04/2022,J0080-TP-XS,2
04/04/2022,J0080-TP-XXL,1
04/04/2022,J0081-DR-XL,1
04/04/2022,J0089-TP-XXL,1
04/04/2022,J0090-TP-L,1
04/04/2022,J0091-TP-M,1
04/04/2022,J0091-TP-XXL,2
04/04/2022,J0092-SET-XL,4
04/04/2022,J0092-SET-XXXL,1
04/04/2022,J0093-DR-M,1
04/04/2022,J0093-DR-XS,1
04/04/2022,J0094-KR-L,1
04/04/2022,J0094-KR-S,1
04/04/2022,J0094-KR-XXL,1
04/04/2022,J0094-KR-XXXL,2
04/04/2022,J0095-SET-L,1
04/04/2022,J0095-SET-M,3
04/04/2022,J0095-SET-S,1
04/04/2022,J0095-SET-XL,5
04/04/2022,J0095-SET-XS,1
04/04/2022,J0095-SET-XXL,2
04/04/2022,J0095-SET-XXXL,7
